config,top_area_um2,top_area_mm2,status,tag
E5M2_E2M1_UE4M4_vec4,4380.39,0.0043803900000000005,OK,260408-194016_E5M2_E2M1_UE4M4_vec4
E5M2_E2M1_UE6M2_vec16,16022.286,0.016022286,OK,260408-194023_E5M2_E2M1_UE6M2_vec16
E5M2_E2M1_UE6M2_vec32,31944.654,0.031944653999999996,OK,260408-194030_E5M2_E2M1_UE6M2_vec32
E5M2_E2M1_UE6M2_vec4,4080.51,0.00408051,OK,260408-194037_E5M2_E2M1_UE6M2_vec4
E5M2_E2M1_UE8M0_vec16,15159.438,0.015159437999999999,OK,260408-194044_E5M2_E2M1_UE8M0_vec16
E5M2_E2M1_UE8M0_vec32,30218.958,0.030218957999999997,OK,260408-194051_E5M2_E2M1_UE8M0_vec32
E5M2_E2M1_UE8M0_vec4,3864.798,0.0038647979999999996,OK,260408-194058_E5M2_E2M1_UE8M0_vec4
E5M2_E2M3_UE2M6_vec16,20171.214,0.020171214,OK,260408-194105_E5M2_E2M3_UE2M6_vec16
E5M2_E2M3_UE2M6_vec32,40242.51,0.04024251,OK,260408-194112_E5M2_E2M3_UE2M6_vec32
E5M2_E2M3_UE2M6_vec4,5117.742,0.005117742,OK,260408-194120_E5M2_E2M3_UE2M6_vec4
E5M2_E2M3_UE4M4_vec16,18268.11,0.01826811,OK,260408-194127_E5M2_E2M3_UE4M4_vec16
E5M2_E2M3_UE4M4_vec32,36436.302,0.036436302000000004,OK,260408-194134_E5M2_E2M3_UE4M4_vec32
E5M2_E2M3_UE4M4_vec4,4641.966,0.004641966,OK,260408-194142_E5M2_E2M3_UE4M4_vec4
E5M2_E2M3_UE6M2_vec16,16824.654,0.016824653999999998,OK,260408-194149_E5M2_E2M3_UE6M2_vec16
E5M2_E2M3_UE6M2_vec32,33549.39,0.03354939,OK,260408-194156_E5M2_E2M3_UE6M2_vec32
E5M2_E2M3_UE6M2_vec4,4281.102,0.004281101999999999,OK,260408-194203_E5M2_E2M3_UE6M2_vec4
E5M2_E2M3_UE8M0_vec16,15357.006,0.015357006,OK,260408-194210_E5M2_E2M3_UE8M0_vec16
E5M2_E2M3_UE8M0_vec32,30614.094,0.030614093999999998,OK,260408-194216_E5M2_E2M3_UE8M0_vec32
E5M2_E2M3_UE8M0_vec4,3914.19,0.00391419,OK,260408-194223_E5M2_E2M3_UE8M0_vec4
E5M2_E3M2_UE2M6_vec16,19794.222,0.019794222,OK,260408-194230_E5M2_E3M2_UE2M6_vec16
E5M2_E3M2_UE2M6_vec32,39488.526,0.039488525999999996,OK,260408-194237_E5M2_E3M2_UE2M6_vec32
E5M2_E3M2_UE2M6_vec4,5023.494,0.005023494,OK,260408-194244_E5M2_E3M2_UE2M6_vec4
E5M2_E3M2_UE4M4_vec16,18098.766,0.018098766,OK,260408-194251_E5M2_E3M2_UE4M4_vec16
E5M2_E3M2_UE4M4_vec32,36097.614,0.036097614,OK,260408-194258_E5M2_E3M2_UE4M4_vec32
E5M2_E3M2_UE4M4_vec4,4599.63,0.0045996299999999995,OK,260408-194305_E5M2_E3M2_UE4M4_vec4
E5M2_E3M2_UE6M2_vec16,16602.894,0.016602894,OK,260408-194312_E5M2_E3M2_UE6M2_vec16
E5M2_E3M2_UE6M2_vec32,33105.87,0.03310587,OK,260408-194319_E5M2_E3M2_UE6M2_vec32
E5M2_E3M2_UE6M2_vec4,4225.662,0.004225662,OK,260408-194326_E5M2_E3M2_UE6M2_vec4
