net,length_um
accumulator._0644_,15.52
scaleAdd._231_,15.46
accumulator._0510_,15.42
accumulator._0686_,15.4
scaleAdd._075_,15.4
accumulator._0491_,15.38
accumulator._0780_,15.38
net60,15.37
scaleAdd._058_,15.36
scaleAdd._043_,15.32
accumulator._0184_,15.3
accumulator._1186_,15.265
accumulator._0123_,15.26
scaleAdd._109_,15.26
scaleAdd._069_,15.2
accumulator.io_inExp\[0\],15.175
accumulator._0335_,15.17
accumulator._0818_,15.1
scaleAdd._094_,15.1
accumulator._0767_,15.08
accumulator._0225_,15.06
accumulator._0688_,15.06
accumulator._0579_,15.045
scaleAdd._219_,15.02
scaleAdd._253_,15.02
scaleAdd._018_,14.96
scaleAdd._088_,14.94
scaleAdd._138_,14.94
accumulator._0487_,14.9
accumulator._1124_,14.88
scaleAdd._214_,14.82
accumulator._0658_,14.74
accumulator._0512_,14.72
accumulator._0548_,14.68
accumulator._0348_,14.66
scaleAdd._015_,14.465
scaleAdd._359_,14.46
scaleAdd._137_,14.44
scaleAdd._207_,14.42
scaleAdd._173_,14.36
accumulator._0153_,14.34
accumulator._0790_,14.34
accumulator._0855_,14.28
accumulator._0931_,14.28
scaleAdd._150_,14.28
net12,14.28
scaleAdd._178_,14.24
accumulator._0047_,14.16
accumulator._0527_,14.14
accumulator._0273_,14.02
accumulator._0928_,14.02
accumulator._0307_,14
scaleAdd._156_,13.98
accumulator._0488_,13.92
accumulator._0457_,13.91
scaleAdd._265_,13.9
accumulator._0045_,13.88
scaleAdd._346_,13.88
accumulator._1169_,13.84
scaleAdd._117_,13.8
net54,13.8
scaleAdd._126_,13.78
scaleAdd._271_,13.76
accumulator._0229_,13.74
accumulator._0441_,13.74
accumulator._0210_,13.72
accumulator._1040_,13.72
accumulator.state\[1\],13.7
accumulator._0835_,13.68
scaleAdd._175_,13.68
accumulator._0849_,13.64
accumulator._1166_,13.54
scaleAdd._177_,13.54
accumulator._0473_,13.53
accumulator._0178_,13.5
accumulator._0575_,13.5
accumulator._0615_,13.42
scaleAdd._167_,13.42
accumulator._0069_,13.38
accumulator._0528_,13.34
accumulator._0915_,13.31
accumulator._0492_,13.3
accumulator.io_inSign,13.26
scaleAdd._121_,13.16
scaleAdd._193_,13.14
accumulator._0438_,13.12
accumulator._0811_,13.12
accumulator._0699_,13.08
accumulator._0189_,13.04
accumulator._0328_,13.04
accumulator._0998_,13.04
accumulator._0052_,13.02
accumulator._0516_,12.96
accumulator._1090_,12.96
accumulator._1102_,12.9
accumulator._0765_,12.88
scaleAdd._048_,12.88
scaleAdd._163_,12.88
scaleAdd._238_,12.84
accumulator._0472_,12.76
accumulator._0617_,12.76
accumulator._0718_,12.72
accumulator._0902_,12.7
scaleAdd._098_,12.7
accumulator._0235_,12.62
accumulator._0698_,12.62
accumulator._0861_,12.58
scaleAdd._327_,12.56
scaleAdd._254_,12.54
accumulator._1145_,12.5
accumulator._0745_,12.48
scaleAdd._286_,12.48
scaleAdd._342_,12.48
accumulator._0039_,12.44
accumulator._0339_,12.42
accumulator._1016_,12.42
scaleAdd._148_,12.42
accumulator._0375_,12.4
accumulator._0656_,12.38
scaleAdd._089_,12.32
scaleAdd._123_,12.24
accumulator._0814_,12.22
scaleAdd._000_,12.2
accumulator._0275_,12.16
accumulator._0338_,12.16
accumulator._0810_,12.16
scaleAdd._293_,12.16
scaleAdd._310_,12.16
net89,12.12
accumulator._0377_,12
accumulator._0784_,12
accumulator._0311_,11.98
accumulator._0312_,11.98
scaleAdd._223_,11.98
net71,11.98
scaleAdd._225_,11.96
accumulator._0839_,11.86
accumulator._0600_,11.84
accumulator._0966_,11.84
accumulator._0332_,11.82
scaleAdd._180_,11.8
accumulator._0781_,11.79
accumulator._1029_,11.78
scaleAdd._090_,11.78
scaleAdd._161_,11.78
scaleAdd._336_,11.78
accumulator._0459_,11.74
accumulator._0859_,11.74
accumulator._1191_,11.74
scaleAdd._012_,11.72
scaleAdd._101_,11.72
accumulator._0741_,11.62
accumulator._0981_,11.62
accumulator._0317_,11.6
accumulator._0187_,11.58
accumulator._0250_,11.58
accumulator._0551_,11.54
accumulator._0220_,11.52
accumulator._0627_,11.52
accumulator._0294_,11.5
scaleAdd._260_,11.5
scaleAdd._170_,11.44
accumulator._0408_,11.42
scaleAdd._066_,11.38
scaleAdd._076_,11.38
accumulator._0631_,11.34
net88,11.32
scaleAdd._026_,11.3
accumulator._1060_,11.28
scaleAdd._065_,11.28
accumulator._0070_,11.24
accumulator._0213_,11.24
net90,11.24
accumulator._0696_,11.2
scaleAdd._110_,11.18
scaleAdd._325_,11.18
accumulator._0097_,11.16
accumulator._0446_,11.16
scaleAdd._275_,11.14
accumulator._0947_,11.12
scaleAdd._354_,11.12
accumulator._0284_,11.08
accumulator._0646_,11.04
accumulator._1063_,11.04
accumulator._0655_,11.02
scaleAdd._122_,10.98
accumulator._0728_,10.92
accumulator._0732_,10.92
net19,10.9
accumulator._0038_,10.88
scaleAdd._162_,10.88
accumulator._1159_,10.86
scaleAdd._274_,10.86
accumulator._0568_,10.82
accumulator._0746_,10.82
accumulator._0816_,10.82
accumulator._0864_,10.82
scaleAdd._028_,10.82
accumulator._0964_,10.8
scaleAdd._053_,10.8
net38,10.8
accumulator._0191_,10.78
accumulator._0448_,10.78
accumulator._0983_,10.78
accumulator._1094_,10.76
accumulator._0316_,10.74
accumulator._0607_,10.74
accumulator._0827_,10.74
scaleAdd._272_,10.74
accumulator._0423_,10.72
accumulator._0465_,10.7
operator._04_,10.68
accumulator._0383_,10.66
accumulator._0244_,10.6
accumulator._0359_,10.56
accumulator._1187_,10.56
accumulator._1162_,10.54
scaleAdd._199_,10.54
net11,10.54
accumulator._0650_,10.5
scaleAdd._027_,10.5
accumulator._0753_,10.48
accumulator._0014_,10.465
scaleAdd._259_,10.44
accumulator._0360_,10.42
accumulator._0927_,10.4
scaleAdd._324_,10.4
accumulator._0672_,10.34
accumulator._0829_,10.34
net42,10.34
accumulator._0771_,10.32
accumulator._0890_,10.32
accumulator._0063_,10.3
scaleAdd._211_,10.3
accumulator._0854_,10.28
scaleAdd._144_,10.28
scaleAdd._217_,10.28
scaleAdd._262_,10.28
scaleAdd._009_,10.225
accumulator._0152_,10.22
scaleAdd._034_,10.18
scaleAdd._270_,10.18
scaleAdd._282_,10.18
accumulator._0173_,10.16
accumulator._0175_,10.16
operator._06_,10.16
accumulator._0082_,10.1
scaleAdd._349_,10.08
accumulator._0933_,10.04
accumulator._1058_,10.04
scaleAdd._016_,10
scaleAdd._151_,10
accumulator._0254_,9.98
accumulator._1077_,9.98
accumulator._0935_,9.94
accumulator._0906_,9.92
accumulator._0529_,9.9
accumulator._0634_,9.9
accumulator._0975_,9.9
accumulator._1115_,9.9
accumulator._0366_,9.86
net20,9.8
accumulator._0576_,9.78
accumulator._0629_,9.78
accumulator._1138_,9.74
scaleAdd._135_,9.72
accumulator._0624_,9.7
accumulator._0752_,9.7
accumulator._1070_,9.66
scaleAdd._269_,9.64
accumulator._0937_,9.62
scaleAdd._191_,9.62
accumulator._0361_,9.54
scaleAdd._052_,9.54
accumulator._0554_,9.52
scaleAdd._174_,9.5
scaleAdd._232_,9.5
net61,9.5
accumulator._0067_,9.48
accumulator._0776_,9.48
accumulator._0842_,9.48
accumulator._0333_,9.4
scaleAdd._035_,9.38
scaleAdd._295_,9.38
accumulator._1121_,9.37
accumulator._0176_,9.36
accumulator._0270_,9.36
accumulator._0422_,9.36
accumulator._0710_,9.36
accumulator._0087_,9.32
accumulator._0318_,9.32
accumulator._0959_,9.32
scaleAdd._306_,9.26
scaleAdd._357_,9.26
accumulator._1182_,9.14
accumulator._0706_,9.12
scaleAdd._054_,9.12
scaleAdd._091_,9.12
scaleAdd._230_,9.08
accumulator._0870_,9.04
accumulator._0979_,9.02
scaleAdd._049_,9.02
accumulator._1049_,9
scaleAdd._045_,9
accumulator._0099_,8.98
accumulator._0458_,8.98
accumulator._0594_,8.98
scaleAdd._344_,8.98
net84,8.98
accumulator._0283_,8.96
accumulator._0665_,8.92
accumulator._1157_,8.92
accumulator._0354_,8.9
accumulator._0454_,8.9
accumulator._0971_,8.9
scaleAdd._131_,8.9
io_accOut[9],8.87
accumulator._0113_,8.86
accumulator._0415_,8.86
scaleAdd._007_,8.84
accumulator._0143_,8.82
